Phenotype Name,Phenotype ID,"% of genes with the term in ""QueryGeneSet""","% of genes with the term in ""Background""",Fisher's Exact Test P-value,BH FDR corrected P-value,Bonferroni corrected P-value
ventral multidendritic neuron,FBbt:00002054,1.08% (1/93),0.4% (47/11801),0.314453999,1,1
bipolar dendrite neuron,FBbt:00005212,0.0% (0/93),0.06% (7/11801),1,1,1
tracheal innervating neuron,FBbt:00005214,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal multidendritic neuron,FBbt:00002024,1.08% (1/93),1.57% (185/11801),1,1,1
lateral multidendritic neuron,FBbt:00002030,0.0% (0/93),0.05% (6/11801),1,1,1
sensory neuron of trichoid sensillum,FBbt:00007292,1.08% (1/93),0.21% (25/11801),0.184790697,1,1
S cell,FBbt:00100041,0.0% (0/93),0.02% (2/11801),1,1,1
L2 GRN,FBbt:00100044,0.0% (0/93),0.01% (1/11801),1,1,1
frontal nerve,FBbt:00100329,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic/larval optic stalk,FBbt:00001931,1.08% (1/93),0.03% (3/11801),0.030915209,1,1
supraesophageal nerve,FBbt:00001964,1.08% (1/93),0.25% (30/11801),0.216239943,1,1
antennal nerve,FBbt:00006045,0.0% (0/93),0.08% (10/11801),1,1,1
perineurial sheath glial cell,FBbt:00005153,0.0% (0/93),0.04% (5/11801),1,1,1
subperineurial glial cell,FBbt:00001258,0.0% (0/93),0.15% (18/11801),1,1,1
nerve root glial cell,FBbt:00100495,0.0% (0/93),0.02% (2/11801),1,1,1
cell body rind region,FBbt:00100200,0.0% (0/93),0.21% (25/11801),1,1,1
cortex associated CNS glial cell,FBbt:00001297,0.0% (0/93),0.17% (20/11801),1,1,1
neuropil associated CNS glial cell,FBbt:00001303,0.0% (0/93),0.69% (81/11801),1,1,1
mushroom body extrinsic neuron,FBbt:00100227,1.08% (1/93),0.32% (38/11801),0.264080207,1,1
extrinsic pb neuron,FBbt:00003661,0.0% (0/93),0.02% (2/11801),1,1,1
exit glial cell,FBbt:00001253,0.0% (0/93),0.01% (1/11801),1,1,1
uniglomerular antennal lobe projection neuron,FBbt:00007383,1.08% (1/93),0.3% (35/11801),0.246488481,1,1
multiglomerular antennal lobe projection neuron,FBbt:00007384,0.0% (0/93),0.01% (1/11801),1,1,1
pars intercerebralis,FBbt:00005802,0.0% (0/93),0.08% (9/11801),1,1,1
procuticle,FBbt:00004975,1.08% (1/93),0.42% (50/11801),0.330475067,1,1
humerus,FBbt:00004562,0.0% (0/93),0.16% (19/11801),1,1,1
postfrons,FBbt:00004490,1.08% (1/93),0.63% (74/11801),0.445994807,1,1
sternite,FBbt:00004477,1.08% (1/93),0.47% (55/11801),0.356357759,1,1
preepisternum,FBbt:00004555,0.0% (0/93),0.26% (31/11801),1,1,1
adult pylorus,FBbt:00100784,0.0% (0/93),0.03% (4/11801),1,1,1
adult pharynx,FBbt:00003128,0.0% (0/93),0.03% (4/11801),1,1,1
adult hypopharynx,FBbt:00003130,0.0% (0/93),0.03% (3/11801),1,1,1
stem cell fusome,FBbt:00005403,0.0% (0/93),0.01% (1/11801),1,1,1
female fusome,FBbt:00007140,0.0% (0/93),0.1% (12/11801),1,1,1
nurse cell ring canal,FBbt:00004879,0.0% (0/93),0.03% (4/11801),1,1,1
oocyte,FBbt:00004886,0.0% (0/93),0.08% (10/11801),1,1,1
ureter,FBbt:00005793,0.0% (0/93),0.02% (2/11801),1,1,1
Malpighian tubule tip cell,FBbt:00005795,0.0% (0/93),0.03% (3/11801),1,1,1
Malpighian tubule Type I cell,FBbt:00005796,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic specialised Malpighian tubule cell,FBbt:00005642,0.0% (0/93),0.03% (4/11801),1,1,1
Malpighian tubule Type II cell,FBbt:00005797,0.0% (0/93),0.05% (6/11801),1,1,1
majority die during third instar larval stage,FBcv:0002014,0.0% (0/93),0.14% (16/11801),1,1,1
majority die during second instar larval stage,FBcv:0002013,0.0% (0/93),0.12% (14/11801),1,1,1
majority die during first instar larval stage,FBcv:0002011,0.0% (0/93),0.23% (27/11801),1,1,1
majority die during prepupal stage,FBcv:0002035,0.0% (0/93),0.01% (1/11801),1,1,1
majority die during pharate adult stage,FBcv:0002036,0.0% (0/93),0.22% (26/11801),1,1,1
visceral mesoderm derivative,FBbt:00026002,1.08% (1/93),0.36% (43/11801),0.292501261,1,1
anterior dorsal histoblast nest abdominal,FBbt:00001792,0.0% (0/93),0.02% (2/11801),1,1,1
air sac tracheoblast of dorsal air sac primordium,FBbt:00005920,0.0% (0/93),0.02% (2/11801),1,1,1
air sac primordium tip cell,FBbt:00007479,0.0% (0/93),0.02% (2/11801),1,1,1
ommatidial precursor cluster,FBbt:00001770,1.08% (1/93),0.13% (15/11801),0.118099764,1,1
protocerebral neuroblast,FBbt:00001334,0.0% (0/93),0.17% (20/11801),1,1,1
deutocerebral neuroblast,FBbt:00001353,0.0% (0/93),0.01% (1/11801),1,1,1
tritocerebral neuroblast,FBbt:00001363,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal acute muscle,FBbt:00000475,2.15% (2/93),0.46% (54/11801),0.070976456,1,1
ventral acute muscle,FBbt:00000477,1.08% (1/93),0.21% (25/11801),0.184790697,1,1
ventral transverse muscle,FBbt:00000473,1.08% (1/93),0.04% (5/11801),0.046016332,1,1
dorsal transverse muscle,FBbt:00000471,0.0% (0/93),0.08% (9/11801),1,1,1
lateral transverse muscle,FBbt:00000472,1.08% (1/93),0.21% (25/11801),0.184790697,1,1
pharyngeal muscle,FBbt:00000487,0.0% (0/93),0.04% (5/11801),1,1,1
prothoracic intersegmental muscle,FBbt:00000514,0.0% (0/93),0.03% (4/11801),1,1,1
prothoracic oblique muscle,FBbt:00000501,0.0% (0/93),0.03% (4/11801),1,1,1
dorsal oblique muscle,FBbt:00000467,0.0% (0/93),0.25% (30/11801),1,1,1
ventral oblique muscle,FBbt:00000469,0.0% (0/93),0.14% (17/11801),1,1,1
lateral oblique muscle 1,FBbt:00000468,0.0% (0/93),0.07% (8/11801),1,1,1
lateral longitudinal muscle 1,FBbt:00000481,0.0% (0/93),0.26% (31/11801),1,1,1
ventral longitudinal muscle,FBbt:00000482,2.15% (2/93),0.5% (59/11801),0.08228356,1,1
ventral intersegmental muscle,FBbt:00000479,0.0% (0/93),0.03% (4/11801),1,1,1
presumptive prescutum,FBbt:00007641,0.0% (0/93),0.01% (1/11801),1,1,1
presumptive scutum,FBbt:00007638,0.0% (0/93),0.01% (1/11801),1,1,1
adult midgut region R3,FBbt:00110897,0.0% (0/93),0.01% (1/11801),1,1,1
spermatid cyst cell,FBbt:00057008,0.0% (0/93),0.03% (3/11801),1,1,1
spermatogonium,FBbt:00004935,0.0% (0/93),0.08% (10/11801),1,1,1
spermatid,FBbt:00004942,0.0% (0/93),1.08% (127/11801),0.628676683,1,1
primary spermatocyte cyst,FBbt:00004938,0.0% (0/93),0.28% (33/11801),1,1,1
spermatocyte,FBbt:00004936,0.0% (0/93),0.33% (39/11801),1,1,1
mediproboscis,FBbt:00004541,0.0% (0/93),0.08% (9/11801),1,1,1
distiproboscis,FBbt:00004542,0.0% (0/93),0.32% (38/11801),1,1,1
basiproboscis,FBbt:00004540,0.0% (0/93),0.33% (39/11801),1,1,1
direct flight muscle,FBbt:00003379,0.0% (0/93),0.03% (4/11801),1,1,1
reticular neuropil associated glial cell,FBbt:00100505,0.0% (0/93),0.02% (2/11801),1,1,1
ensheathing neuropil associated glial cell,FBbt:00100504,0.0% (0/93),0.03% (3/11801),1,1,1
secondary pigment cell,FBbt:00004232,0.0% (0/93),0.03% (4/11801),1,1,1
tertiary pigment cell,FBbt:00004233,0.0% (0/93),0.03% (3/11801),1,1,1
terminal filament,FBbt:00004901,0.0% (0/93),0.02% (2/11801),1,1,1
germarium region 2,FBbt:00004869,0.0% (0/93),0.11% (13/11801),1,1,1
germarium region 3,FBbt:00004872,0.0% (0/93),0.03% (3/11801),1,1,1
nurse cell,FBbt:00004878,0.0% (0/93),0.14% (16/11801),1,1,1
oocyte associated follicular epithelium,FBbt:00007030,0.0% (0/93),0.05% (6/11801),1,1,1
nurse cell associated follicular epithelium,FBbt:00007031,0.0% (0/93),0.11% (13/11801),1,1,1
mushroom body intrinsic neuron,FBbt:00007484,1.08% (1/93),0.78% (92/11801),0.519477163,1,1
wide-field columnar neuron,FBbt:00110137,0.0% (0/93),0.12% (14/11801),1,1,1
scolopidial dendrite,FBbt:00005223,0.0% (0/93),0.05% (6/11801),1,1,1
posterior fascicle sensory neuron,FBbt:00002038,1.08% (1/93),0.47% (56/11801),0.361414249,1,1
thermosensory neuron,FBbt:00005918,0.0% (0/93),0.02% (2/11801),1,1,1
anterior fascicle sensory neuron,FBbt:00001998,1.08% (1/93),1.75% (207/11801),1,1,1
mechanosensory neuron,FBbt:00005919,0.0% (0/93),0.57% (67/11801),1,1,1
adult labial sensory neuron,FBbt:00004029,0.0% (0/93),0.04% (5/11801),1,1,1
auditory system neuron,FBbt:00110127,0.0% (0/93),0.03% (4/11801),1,1,1
gustatory system neuron,FBbt:00007695,0.0% (0/93),0.15% (18/11801),1,1,1
larval anteriolateral neurosecretory cell,FBbt:00110569,0.0% (0/93),0.03% (3/11801),1,1,1
intermediate peripheral glial cell of ISN,FBbt:00001329,0.0% (0/93),0.02% (2/11801),1,1,1
ventral multidendritic neuron vdaB,FBbt:00002056,0.0% (0/93),0.01% (1/11801),1,1,1
class IV dendritic arborizing neuron,FBbt:00007275,1.08% (1/93),1.36% (161/11801),1,1,1
class II dendritic arborizing neuron,FBbt:00007273,0.0% (0/93),0.06% (7/11801),1,1,1
dorsal multidendritic neuron ddaA,FBbt:00002025,0.0% (0/93),0.03% (4/11801),1,1,1
dorsal multidendritic neuron ddaE,FBbt:00002029,0.0% (0/93),0.23% (27/11801),1,1,1
dorsal multidendritic neuron ddaC,FBbt:00002027,0.0% (0/93),0.24% (28/11801),1,1,1
class III dendritic arborizing neuron,FBbt:00007274,0.0% (0/93),0.24% (28/11801),1,1,1
class I dendritic arborizing neuron,FBbt:00007272,1.08% (1/93),0.61% (72/11801),0.437173358,1,1
dorsal multidendritic neuron ddaD,FBbt:00002028,0.0% (0/93),0.2% (24/11801),1,1,1
labral nerve,FBbt:00100327,0.0% (0/93),0.03% (3/11801),1,1,1
commissure,FBbt:00005103,1.08% (1/93),0.7% (83/11801),0.484028452,1,1
chiasma,FBbt:00005814,0.0% (0/93),0.07% (8/11801),1,1,1
antennal lobe tract,FBbt:00001635,0.0% (0/93),0.01% (1/11801),1,1,1
interface glial cell,FBbt:00001311,0.0% (0/93),0.01% (1/11801),1,1,1
transverse antennal lobe tract projection neuron,FBbt:00100225,0.0% (0/93),0.01% (1/11801),1,1,1
lobe system of mushroom body,FBbt:00003688,1.08% (1/93),0.82% (97/11801),0.538118439,1,1
mushroom body spur,FBbt:00045010,0.0% (0/93),0.01% (1/11801),1,1,1
mushroom body calyx,FBbt:00003685,1.08% (1/93),0.14% (16/11801),0.125004691,1,1
mushroom body pedunculus,FBbt:00003687,1.08% (1/93),0.03% (3/11801),0.030915209,1,1
bract,FBbt:00005180,0.0% (0/93),0.08% (9/11801),1,1,1
enterocyte,FBbt:00007042,5.38% (5/93),0.3% (35/11801),1.39E-05,1,1
adult anterior midgut epithelium,FBbt:00007040,0.0% (0/93),0.01% (1/11801),1,1,1
enteroblast,FBbt:00110205,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
enteroendocrine cell,FBbt:00007038,1.08% (1/93),0.2% (24/11801),0.178352648,1,1
nurse cell ring canal rim,FBbt:00004880,0.0% (0/93),0.03% (3/11801),1,1,1
early ommatidial precursor cluster,FBbt:00007144,1.08% (1/93),0.05% (6/11801),0.053479361,1,1
posterior protocerebral neuroblast,FBbt:00001347,0.0% (0/93),0.01% (1/11801),1,1,1
central protocerebral neuroblast,FBbt:00001343,0.0% (0/93),0.01% (1/11801),1,1,1
anterior protocerebral neuroblast,FBbt:00001335,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal deutocerebral neuroblast,FBbt:00001354,0.0% (0/93),0.01% (1/11801),1,1,1
ventral deutocerebral neuroblast,FBbt:00001356,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal tritocerebral neuroblast,FBbt:00005968,0.0% (0/93),0.01% (1/11801),1,1,1
ventral tritocerebral neuroblast,FBbt:00005969,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal acute muscle 3,FBbt:00110232,0.0% (0/93),0.11% (13/11801),1,1,1
dorsal acute muscle 2,FBbt:00110222,0.0% (0/93),0.06% (7/11801),1,1,1
dorsal acute muscle 1,FBbt:00110221,1.08% (1/93),0.36% (42/11801),0.286905294,1,1
ventral acute muscle 2,FBbt:00110256,0.0% (0/93),0.03% (4/11801),1,1,1
ventral acute muscle 1,FBbt:00110253,0.0% (0/93),0.05% (6/11801),1,1,1
ventral transverse muscle 1,FBbt:00110280,0.0% (0/93),0.04% (5/11801),1,1,1
lateral transverse muscle 1,FBbt:00110262,0.0% (0/93),0.08% (9/11801),1,1,1
lateral transverse muscle 2,FBbt:00110265,0.0% (0/93),0.08% (10/11801),1,1,1
lateral transverse muscle 3,FBbt:00110268,0.0% (0/93),0.09% (11/11801),1,1,1
lateral transverse muscle 4,FBbt:00110271,0.0% (0/93),0.07% (8/11801),1,1,1
dorsal oblique muscle 2,FBbt:00110229,0.0% (0/93),0.08% (10/11801),1,1,1
dorsal oblique muscle 3,FBbt:00110236,0.0% (0/93),0.06% (7/11801),1,1,1
dorsal oblique muscle 4,FBbt:00110239,0.0% (0/93),0.08% (9/11801),1,1,1
dorsal oblique muscle 1,FBbt:00110226,0.0% (0/93),0.09% (11/11801),1,1,1
ventral oblique muscle 1,FBbt:00110249,0.0% (0/93),0.03% (4/11801),1,1,1
ventral oblique muscle 2,FBbt:00110244,0.0% (0/93),0.05% (6/11801),1,1,1
ventral oblique muscle 3,FBbt:00110283,0.0% (0/93),0.01% (1/11801),1,1,1
ventral longitudinal muscle 2,FBbt:00110293,0.0% (0/93),0.08% (10/11801),1,1,1
ventral longitudinal muscle 3,FBbt:00110246,0.0% (0/93),0.25% (29/11801),1,1,1
ventral longitudinal muscle 1,FBbt:00110301,0.0% (0/93),0.12% (14/11801),1,1,1
ventral longitudinal muscle 4,FBbt:00110247,0.0% (0/93),0.17% (20/11801),1,1,1
elongation stage spermatid,FBbt:00005310,0.0% (0/93),0.32% (38/11801),1,1,1
individualization stage spermatid,FBbt:00005320,0.0% (0/93),0.47% (56/11801),1,1,1
primary spermatocyte,FBbt:00005286,0.0% (0/93),0.05% (6/11801),1,1,1
cystocyte,FBbt:00004877,0.0% (0/93),0.04% (5/11801),1,1,1
photoreceptor cell pigment granule,FBbt:00005236,0.0% (0/93),0.08% (10/11801),1,1,1
vesC neuron,FBbt:00002043,0.0% (0/93),0.01% (1/11801),1,1,1
lch1 neuron,FBbt:00100032,0.0% (0/93),0.03% (4/11801),1,1,1
v'esA neuron,FBbt:00002048,0.0% (0/93),0.01% (1/11801),1,1,1
v'esB neuron,FBbt:00002049,0.0% (0/93),0.01% (1/11801),1,1,1
vch neuron,FBbt:00002039,0.0% (0/93),0.02% (2/11801),1,1,1
vesA neuron,FBbt:00002041,0.0% (0/93),0.01% (1/11801),1,1,1
vesB neuron,FBbt:00002042,0.0% (0/93),0.01% (1/11801),1,1,1
desD neuron,FBbt:00002002,0.0% (0/93),0.01% (1/11801),1,1,1
desC neuron,FBbt:00002001,0.0% (0/93),0.02% (2/11801),1,1,1
scolopidial neuron,FBbt:00005222,0.0% (0/93),0.34% (40/11801),1,1,1
longitudinal glial cell,FBbt:00110878,0.0% (0/93),0.01% (1/11801),1,1,1
synaptic neuropil segment,FBbt:00040069,0.0% (0/93),0.24% (28/11801),1,1,1
synaptic neuropil layer,FBbt:00040008,1.08% (1/93),0.31% (37/11801),0.258261918,1,1
